es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2015-12-23T00:00:00Z,20151223,50.296159349999996,440.34,46.341859205656064,47.31306490292771,48.38574165957056,91.7500145556802,84.71990680550766
2015-12-25T00:00:00Z,20151225,-2475.2370901800005,453.8775,32.08913057381694,42.211327515628874,46.57964716032735,63.99356662575059,81.10683602921273
2015-12-26T00:00:00Z,20151226,75.47803558999999,448.07,50.529232713923854,48.518692659874155,48.65362883088884,65.76053791166616,73.83470636436562
2015-12-27T00:00:00Z,20151227,50.37304476,416.815,50.36770184738641,48.46012735089871,48.63371765248292,66.33823726820852,65.36411393520838
2015-12-28T00:00:00Z,20151228,3170.28142923,421.47,66.39048824457177,55.90203378784096,51.288090219410584,99.67157060154186,77.25678192713882
2015-12-29T00:00:00Z,20151229,25.01586161,422.26,47.74424289807142,48.03569035865601,48.57670927529946,81.10087813744383,82.3702286690647
2015-12-31T00:00:00Z,20151231,-19874.29669762,427.44,15.242569669999645,23.99908166039268,35.76132594974849,48.09579753801663,76.2894154256674
2016-01-01T00:00:00Z,20160101,25.24910232,432.84,53.35062922490593,51.37329356017881,49.917803168642344,43.54659684013734,57.58109083853257
2016-01-02T00:00:00Z,20160102,50.567964759999995,433.56,53.38263063297448,51.3983504603057,49.93284413695688,57.60488829245736,49.74909422353708
2016-01-03T00:00:00Z,20160103,75.54091083,428.9,53.420450971619005,51.42612413586411,49.9487294707674,86.4617666127216,62.53775058177208
2016-01-04T00:00:00Z,20160104,50.32817422,433.424,53.36799559661257,51.39276712852946,49.9315925703466,86.49804278400718,76.85489922972869
2016-01-05T00:00:00Z,20160105,-3949.69485494,432.59,44.962608876989314,46.060334232780356,47.18007564592818,80.71177526129482,84.55719488600784
2016-01-06T00:00:00Z,20160106,806.58167648,429.6625,55.061643174362196,52.634526585660545,50.64501489067636,81.7692051429586,82.99300772942017
2016-01-07T00:00:00Z,20160107,6000.002900000006,447.2683870967741,63.771969571370605,58.80251852008196,54.16277215494123,86.28212966955232,82.92103669126855
2016-01-08T00:00:00Z,20160108,277.94774457999995,455.885,50.762967556043805,50.630243968084656,49.95925779148634,89.20936772121213,85.75356751124099
